Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
Ascorbato de magnésio,15431-40-0,"The EFSA Journal (2009) 994, 1-22",Fonte de Magnésio,"1) Alegação:O magnésio auxilia na formação de ossos e dentes. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O magnésio auxilia no metabolismo energético. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O magnésio auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O magnésio auxilia no equilíbrio dos eletrólitos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação:  O magnésio auxilia no funcionamento muscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O magnésio auxilia no funcionamento neuromuscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O magnésio auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de magnésio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de magnésio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de magnésio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Ascorbato de manganês,16351-10-3,"The EFSA Journal (2009) 1114, 1-23",Fonte de Manganês,"1) Alegação: O manganês é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
2) Alegação: O manganês auxilia na formação de ossos.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O manganês auxilia no metabolismo energético.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação:  O manganês auxilia na manutenção dos tecidos conectivos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: Fonte de manganês.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação:  Alto conteúdo/Rico em/Alto teor de manganês. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de manganês corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Ascorbato de sódio/L-ascorbato de sódio,134-03-2,"European pharmacopoeia 9.0 

USP-NF

 Prepared at the 17th JECFA (1973), published in FNP 4 (1978) and in FNP 52 (1992). Metals and arsenic specifications revised at the 61st JECFA (2003). A group ADI ‘not specified’ was established for ascorbic acid and its Ca, K and Na salts at the 25th JECFA (1981) 

 FCC",Fonte de vitamina C,"1) Alegação: A vitamina C auxilia na absorção de ferro dos alimentos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: A vitamina C é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: A vitamina C auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: A vitamina C auxilia na formação do colágeno. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: A vitamina C auxilia na regeneração da forma reduzida da vitamina E. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: A vitamina C auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: A vitamina C auxilia no metabolismo de proteínas e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de vitamina C. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina C. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina C corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Ascorbato de zinco,151728-40-4,"The EFSA Journal (2009) 994, 1-22",Fonte de Zinco,"1) Alegação: O zinco é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O zinco auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O zinco auxilia no metabolismo da vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação: O zinco contribui para a manutenção do cabelo, da pele e das unhas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: O zinco auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: O zinco auxilia na síntese de proteínas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O zinco auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
8) Alegação: O zinco auxilia na manutenção de ossos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
9) Alegação: O zinco auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
10) Alegação: Fonte de zinco.Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
11) Alegação: Alto conteúdo/Rico em/Alto teor de zinco. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de zinco corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Aspartato de cobre,,"The EFSA Journal (2008) 883, 1-23",Fonte de Cobre,"1) Alegação:  O cobre auxilia no funcionamento do sistema imune. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O cobre auxilia no metabolismo energético . Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O cobre contribui para a pigmentação de cabelo e pele. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O cobre auxilia no transporte de ferro no organismo. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O cobre é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação:  O cobre auxilia na manutenção dos tecidos conjuntivos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de cobre. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação:  Alto conteúdo/Rico em/Alto teor de cobre. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de cobre corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Aspartato de manganês,,"The EFSA Journal (2009) 1114, 1-23",Fonte de Manganês,"1) Alegação: O manganês é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
2) Alegação: O manganês auxilia na formação de ossos.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O manganês auxilia no metabolismo energético.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação:  O manganês auxilia na manutenção dos tecidos conectivos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: Fonte de manganês.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação:  Alto conteúdo/Rico em/Alto teor de manganês. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de manganês corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Aspartato de zinco,"19045-00-2

36393-20-1","The EFSA Journal (2008) 883, 1-23",Fonte de Zinco,"1) Alegação: O zinco é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O zinco auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O zinco auxilia no metabolismo da vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação: O zinco contribui para a manutenção do cabelo, da pele e das unhas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: O zinco auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: O zinco auxilia na síntese de proteínas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O zinco auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
8) Alegação: O zinco auxilia na manutenção de ossos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
9) Alegação: O zinco auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
10) Alegação: Fonte de zinco.Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
11) Alegação: Alto conteúdo/Rico em/Alto teor de zinco. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de zinco corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
"Associação de Bifidobacterium animalis subespécie lactis HN019 (ATCC SD5674), Lactobacillus acidophilus NCFM (ATCC SD5221), Lactobacillus rhamnosus HN001 /Lacticaseibacillus rhamnosus HN001 (ATCC SD5675) e Lactobacillus paracasei LPC-37 /Lacticaseibacillus paracasei LPC-37  (ATCC SD5275)",,Para esse constituinte foram aprovadas as especificações do fabricante: Farmoquímica S/A - Rio de Janeiro - RJ,"Fonte de Bifidobacterium animalis subespécie lactis HN019 (ATCC SD5674), Lactobacillus acidophilus NCFM (ATCC SD5221), Lactobacillus rhamnosus HN001 /Lacticaseibacillus rhamnosus HN001 (ATCC SD5675) e Lactobacillus paracasei LPC-37 /Lacticaseibacillus paracasei LPC-37 (ATCC SD5275)","“O probiótico contendo a associação das linhagens Bifidobacterium lactis HN019 (ATCC SD 5674), Lactobacillus acidophilus NCFM (ATCC SD 5221), Lactobacillus rhamnosus HN001 (ATCC SD 5675) e Lactobacillus paracasei LPC-37 (ATCC SD 5275) contribui com a saúde do trato gastrointestinal”.","A advertência “Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
"Associação de Bifidobacterium animalis subsp. lactis HN019 (ATCC SD5674), Lactobacillus acidophilus NCFM (ATCC SD5221), Lactobacillus rhamnosus HN001 (ATCC SD5675), Lactobacillus paracasei Lpc-37 (ATCC SD5275) e Fruto-oligossacarídeos (FOS)",,,"Fonte de Bifidobacterium animalis subsp. lactis HN019 (ATCC SD5674), Lactobacillus acidophilus NCFM (ATCC SD5221), Lactobacillus rhamnosus HN001 (ATCC SD5675), Lactobacillus paracasei Lpc-37 (ATCC SD5275) e Fruto-oligossacarídeos (FOS)","Alegação: A associação de Bifidobacterium animalis subsp. lactis HN019 (ATCC SD5674), Lactobacillus acidophilus NCFM (ATCC SD5221), Lactobacillus rhamnosus HN001 (ATCC SD5675), Lactobacillus paracasei Lpc-37 (ATCC SD5275) e Fruto-oligossacarídeos (FOS) pode contribuir com a saúde do trato gastrointestinal. A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bifidobacterium animalis subsp. lactis HN019 (ATCC SD5674), Lactobacillus acidophilus NCFM (ATCC SD5221), Lactobacillus rhamnosus HN001 (ATCC SD5675), Lactobacillus paracasei Lpc-37 (ATCC SD5275) e Fruto-oligossacarídeos (FOS) fornecida na recomendação diária de consumo do produto atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.","A advertência ""Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças de até 3 anos de idade, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave."" deve constar na rotulagem do produto.",
"Associação de Bifidobacterium lactis BI-07 (ATCC SD5220), de Lactobacillus acidophilus NCFM (ATCC SD5221), de Bifidobacterium lactis BI-04 (ATCC SD5219) e de Lactobacillus paracasei Lpc-37/Lacticaseibacillus paracasei LPC-37 (ATCC SD5275)",,Para esse constituinte foram aprovadas as especificações do fabricante: Danisco - Madison - EUA e Danisco - Rochester - EUA.,"Fonte de Bifidobacterium lactis BI-07 (ATCC SD5220), de Lactobacillus acidophilus NCFM (ATCC SD5221), de Bifidobacterium lactis BI-04 (ATCC SD5219) e de Lactobacillus paracasei Lpc-37 /Lacticaseibacillus paracasei LPC-37 (ATCC SD5275)","Alegação: A associação de Bifidobacterium lactis BI-07 (ATCC SD5220), Lactobacillus acidophilus NCFM (ATCC SD5221), Bifidobacterium lactis BI-04 (ATCC SD5219) e Lactobacillus paracasei Lpc-37 (ATCC SD5275) pode contribuir com a saúde do trato gastrointestinal. Requisito: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de  Bifidobacterium lactis BI-07 (ATCC SD5220), Lactobacillus acidophilus NCFM (ATCC SD5221), Bifidobacterium lactis BI-04 (ATCC SD5219) e Lactobacillus paracasei Lpc-37 (ATCC SD5275) atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.","A advertência “Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
"Associação de Lactobacillus acidophilus La-14 (ATCC SD5212), Lactobacillus rhamnosus HN001 (ATCC SD5675) e lactoferrina bovina",,Para a associação deLactobacillus acidophilus La-14 (ATCC SD5212) e Lactobacillus rhamnosus HN001 (ATCC SD5675) foram aprovadas as especificações do fabricante: Danisco (EUA),"Fonte de Lactobacillus acidophilus La-14 (ATCC SD5212), Lactobacillus rhamnosus HN001 (ATCC SD5675) e lactoferrina bovina","1) Alegação: A associação deLactobacillus acidophilusLa-14 (ATCC SD5212) e Lactobacillus rhamnosusHN001 (ATCC SD5675) com lactoferrina bovina pode contribuir com a saúde vaginal.
Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Lactobacillus acidophilus La-14 (ATCC SD5212), Lactobacillus rhamnosus HN001 (ATCC SD5675) e lactoferrina atenda aos valores mínimos estabelecidos no Anexo III da IN 28/2018.","A advertência “Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
Associação de Lactobacillus helveticus R0052 (CNCM I-1722) e de Bifidobacterium longum R0175 (CNCM I-3470),,Para esse cconstituinte foram aprovadas as especificações do fabricante: Lallemand Health Solutions Inc - Montreal - Quebec - Canadá.,Fonte de Lactobacillus helveticus R0052 (CNCM I-1722) e de Bifidobacterium longum R0175 (CNCM I-3470),Alegação 1: A associação de Lactobacillus helveticus R0052 (CNCM I-1722) e de Bifidobacterium longum R0175 (CNCM I-3470) podem auxiliar na redução de sensações de ansiedade em pessoas saudáveis. Alegação 2: A associação de Lactobacillus helveticus R0052 (CNCM I-1722) e de Bifidobacterium longum R0175 (CNCM I-3470) ajudam a reduzir complicações gastrointestinais como dor abdominal e náusea/vômito devido ao estresse leve a moderado em pessoas saudáveis. Requisito: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Lactobacillus helveticus R0052 (CNCM I-1722) e de Bifidobacterium longum R0175 (CNCM I-3470) atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.,"A advertência “Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
"Associação de Lactobacillus plantarum (CECT 7484), Lactobacillus plantarum (CECT 7485) e Pediococcus acidilactici (CECT 7483)",,Para este ingrediente foram aprovadas as especificações do proprietário: AB-BIOTICS S.A.,fonte de probiótico em suplementos alimentares,"1) Alegação: A associação de Lactobacillus plantarum (CECT 7484), Lactobacillus plantarum (CECT 7485) e Pediococcus acidilactici (CECT 7483) pode contribuir com a saúde do trato gastrointestinal. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Lactobacillus plantarum (CECT 7484), Lactobacillus plantarum (CECT 7485) e Pediococcus acidilactici (CECT 7483) fornecida na recomendação diária de consumo do produto atenda aos valores mínimos estabelecidos na Instrução Normativa nº 28/2018.
2) Alegação: A associação de Lactobacillus plantarum (CECT 7484), Lactobacillus plantarum (CECT 7485) e Pediococcus acidilactici (CECT 7483) pode contribuir para a redução do desconforto intestinal em adultos. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Lactobacillus plantarum (CECT 7484), Lactobacillus plantarum (CECT 7485) e Pediococcus acidilactici (CECT 7483) fornecida na recomendação diária de consumo do produto atenda aos valores mínimos estabelecidos na Instrução Normativa nº 28/2018.","
A advertência ""Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave."" deve constar na rotulagem do produto.",
Associação de Lactobacillus rhamnosus 19070-2 (DSM 26357) e Lactobacillus reuteri DSM 12246 (CBS 145621),,"Para este constituinte foram aprovadas as especificações do fabricante: Centro Sperimentale del
Late – Endereço: Strada per Merlino 3 – Zelo Buon Persico, Lodi 26839 – Itália e Lallemand SAS – Endereço: 4 Chemin du Bord de l’Eau, Saint Simon 15130 -
França.",Fonte de Lactobacillus rhamnosus 19070-2 (DSM 26357) e de Lactobacillus reuteri DSM 12246 (CBS 145621),1) Alegação: A associação de Lactobacillus rhamnosus 19070-2 e Lactobacillus reuteri DSM 12246 pode contribuir com a saúde do trato gastrointestinal. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Lactobacillus rhamnosus 19070-2 e Lactobacillus reuteri DSM 12246 fornecida na recomendação diária de consumo do produto atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.,"A advertência ""Este produto não deve ser consumido por adultos, gestantes, lactantes, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave"" deve constar na rotulagem do produto.",
Associação de Lactobacillus rhamnosus GR-1 (DSM33426) e Limosillactobacillus reuteri RC-14 (DSM33016),,Fabricante: Chr. Hansen A/S (Denmark),fonte de probiótico em suplementos alimentares,"A associação deLactobacillus rhamnosusGR-1 (DSM33426) eLimosilactobacillus reuteriRC-14 (DSM33016) pode contribuir com a saúde vaginal.
A alegação é restrita aos suplementos alimentares cuja quantidade mínima deLactobacillus rhamnosusGR-1 (DSM33426) e deLimosilactobacillus reuteriRC-14 (DSM33016) atenda aos valores mínimos estabelecidos no Anexo III da IN Nº 336, DE 28 DE NOVEMBRO DE 2024.","A advertência ""Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave."" deve constar na rotulagem do produto.",
Associação de Lactobacillus rhamnosus R0011/Lacticaseibacillus rhamnosus R0011 (CNCM I-1720) e de Lactobacillus helveticus R0052 (CNCM I-1722),,Para esse cconstituinte foram aprovadas as especificações do fabricante: Lallemand Health Solutions Inc - Montreal - Quebec - Canadá.,Fonte de Lactobacillus rhamnosus R0011 /Lacticaseibacillus rhamnosus R0011 (CNCM I-1720) e de Lactobacillus helveticus R0052 (CNCM I-1722),Alegação: A associação de Lactobacillus rhamnosus R0011 (CNCM I- 1720) e de Lactobacillus  helveticus R0052 (CNCM I- 1722) podem contribuir com a saúde do trato gastrointestinal. Requisito: A alegação é restrita aos suplementos alimentares em cápsulas ou sachês cuja  quantidade mínima de Lactobacillus rhamnosus R0011 (CNCM I-1720) e de Lactobacillus helveticus R0052 (CNCM I-1722) atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.,"A advertência “Este produto não deve ser consumido por gestantes, lactantes, lactentes e crianças de até 3 anos de idade, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
Associação de Limosilactobacillus reuteri (Lactobacillus reuteri) (DSM 17938) e Limosilactobacillus reuteri (Lactobacillus reuteri) (ATCC PTA 6475),,"Para este ingrediente foram aprovadas as especificações do proprietário: BioGaia AB, Escocolmo, Suécia.",Fonte de de Limosilactobacillus reuteri (Lactobacillus reuteri) (DSM 17938) e Limosilactobacillus reuteri (Lactobacillus reuteri) (ATCC PTA 6475),Alegação: A associação de Limosilactobacillus reuteri (Lactobacillus reuteri) (DSM 17938) e Limosilactobacillus reuteri (Lactobacillus reuteri) (ATCC PTA 6475) pode contribuir com a saúde do trato gastrointestinal. A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Limosilactobacillus reuteri (Lactobacillus reuteri) (DSM 17938) e Limosilactobacillus reuteri (Lactobacillus reuteri) (ATCC PTA 6475) atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.,"A advertência “Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
Associação de Pediococcus pentosaceus (CECT 8330) e Bifidobacterium longum (CECT 7894),,Para esse constituinte foram aprovadas as especificações do fabricante: Lactosan GmbH & Co. KG - Austria,Fonte de Bifidobacterium longum e Pediococcus pentosaceus,"Alegação: ""A associação de Pediococcus pentosaceus (CECT 8330) e Bifidobacterium longum (CECT 7894) pode
contribuir com a saúde do trato gastrointestinal."" Requisito: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Pediococcus pentosaceus (CECT 8330) e de Bifidobacterium longum (CECT 7894) atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.","A advertência ""Este produto não deve ser consumido por gestantes, lactantes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave."" deve constar na rotulagem do produto.",
Azeite de oliva (Olea europaea),8001-25-0,"CODEX STAN 33-1981
USP 7426 Oleyl / Official Monographs NF 34","Fonte de Lipídeos
Fonte de Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,Não há requisitos adicionais,
"Bacillus Clausii O/C (CNCM-I-276), SIN (CNCM-I-275), N/R (CNCM-I-274), T (CNCM-I-273)",,Para esse constituinte foram aprovadas as especificações do fabricante: Sanofi S.p.A. - Itália.,"Fonte de Bacillus Clausii O/C (CNCM-I-276), SIN (CNCM-I-275), N/R (CNCM-I-274), T (CNCM-I-273)","Alegação: “O Bacillus clausii O/C (CNCM-I276), SIN (CNCM-I-275), N/R (CNCM-I-274), T (CNCM-I-273) pode contribuir com a saúde do trato gastrointestinal.” Requisito: A alegação é restrita aos suplementos
alimentares cuja quantidade mínima de Bacillus clausii O/C (CNCM-I-276), SIN (CNCM-I-275), N/R (CNCM-I-274), T (CNCM-I-273) atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.","A advertência “Este produto não deve ser consumido por gestantes, lactantes, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
